Project,工作內容,工作說明,請求協助,夥伴,交付日期,状态,最新更新日期,開始日期,專案進度,PM,專案名稱,Status,Priority,Assignee,Due,Parent-task,Sub-tasks,Summary,Multi-select,夥伴 1,夥伴 2,項目編號,Figma 文件,文本
iii軟體院 高爾夫球智能訓練系統 整合服務代理 (https://www.notion.so/iii-1ac2fd085e5f8000b4fadd4bd5e7c36a?pvs=21),工研院 心儀  海報製作費用4500元,7/21 已收款,,,2025/07/21,未开始,,,,,,Not started,,,,,,,,,,,,
虎爺溫泉 智能客服 及 數位課程 (商業署補助) (https://www.notion.so/2072fd085e5f806296bcef284ad7fe72?pvs=21),智能客服、數位課程,"1. 補助申請手續已完成 (7/21)、待商業署審核。

2. 智能客服 使用協助、已簽署備忘錄 (7/18)。

3. 交接 Echo、惠真 (7/23)

https://drive.google.com/drive/folders/1jOvuTkVBlLZgQ9dR3-kPr-7rSpjmHr4O",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
臉書文案 編輯與排程 (https://www.notion.so/20d2fd085e5f8022a594d7ed403261a3?pvs=21),7/29、8/1 文案已排程,,,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
陸軍專科學校  體育科 室內高球模擬器 建置 (https://www.notion.so/2162fd085e5f80cfa72dc43800c2c4cb?pvs=21),細項報價 (裝修工程部分),報價已完成 (7/21),,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
數位課程 規劃及推廣 (商業署補助) (https://www.notion.so/2162fd085e5f80a18138c9b7b05ddee6?pvs=21),推廣至各產業,"已完成 Canva 教學影片 1小時 (分4段)。

https://drive.google.com/drive/folders/1WY2xvTbuL9pRTTUKOXNV9r4Dc-4Eh_vT",,,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
數位課程 規劃及推廣 (商業署補助) (https://www.notion.so/2162fd085e5f80a18138c9b7b05ddee6?pvs=21),引雅珠寶需求,說是需要crm系統跟虛擬穿戴系統  但研判可能也會需要aigc內訓+客服機器人,,"Sunny, 小溫",2025/08/31,未开始,,,,,,Not started,,,,,,,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),地端ai影片生成,要灌在手提電腦主機上,,"Sunny, 小溫",2025/08/31,未开始,,,,,,Not started,,,,,,,,,,,,
數位課程 規劃及推廣 (商業署補助) (https://www.notion.so/2162fd085e5f80a18138c9b7b05ddee6?pvs=21),珠寶商情合作項目,1.網站a b c方案  2.ai課程推廣  3.媒合平台製作  4.科專共同提案 5.產業轉型輔導  6.珠寶crm系統  7.線上課程錄影,,"Sunny, 小溫",2025/08/31,未开始,,,,,,Not started,,,,,,,,,,,,
,電子招標網查詢適合的標案,每日工作,,Jean,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
,宜蘭 冬山 香格里拉農場 AI輔導,14:00，跟 資策會 啟銘 一起去。,,,2025/07/30,未开始,,,,,,Not started,,,,,,,,,,,,
"24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21), 派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21)",弱點掃描合約,,,Brian,2025/06/30,未开始,,,,,24201派工1999維護,Not started,,,,,,,,,,,,
"24102 參聯 (https://www.notion.so/24102-0131d06092f044708b90bcdd2e774439?pvs=21), 派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21)",季維護,,,Brian,2025/06/30,未开始,,,,,24201派工1999維護,Not started,,,,,,,,,,,,
24134 號誌新案 (https://www.notion.so/24134-a08740325ff74822b0d0f747fb774881?pvs=21),路口資料更新錯誤,,,Jason,2025/08/27,进行中,,,,,,In progress,,,,,,,,,,,,
,AI應用輔導案,,,"Echo, Jean",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
其他 (https://www.notion.so/5d5b8ef2e6d04a239b308edbf37be88f?pvs=21),申請線上支付(紅陽),,,Jason,2025/09/13,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),前台,只顯示股權及專案型案件,,Miles,2025/08/26,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,"1.多人共用帳號v
2.閒置登出 90%
3.vpn(?)",,"Anita, Jason, Miles",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),Task,1400再拿一次資料之後再轉一次到正式端,,"Anita, VC, 姿樺",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
,anita交接,,,"Anita, 亮廷",2025/09/05,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),8/29（五）開會,"8/26 看會議文件、目前系統畫面
8/27 與Anita開會討論會議內容
8/29 中小企總線上會議 15:00",,亮廷,2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),畫面,畫面製作中,,"Anita, 亮廷",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),運動員資料不符,"傳統負重接力 選手資料
目前工作人員 核對負重接力時
遇到 原先報名選手資料
僅呈現如圖
全部參賽選手僅5人
其他報名選手不知被放在哪裡了",,"Echo, VC",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持進度,"待調整：
- 調整API網址後重新測試
API等待中：
- 進貨流程",,亮廷,2025/08/26,进行中,,,,,,Not started,,,,,,,,,,,,
信誼 (https://www.notion.so/2232fd085e5f80639259cdd7d06081cc?pvs=21),信誼工作坊,？？,,"Echo, Sam, Sunny",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
,敏捷學會官網,"靜態頁製作
https://www.agileme.org/",,Ing,2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下驗收單回覆,,,"Brian, Echo",2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),設定平板及標籤印表機,準備安裝說明,,Jason,2025/08/26,进行中,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),部屬到AWS,,,姿樺,2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),太魯閣進度會議,"1.yt的影片請用箝入語法方式處理
2.套表列印內容未提供",,"Echo, 姿樺",2025/08/25,未开始,,,,,,Not started,,,,,,,,,,,,
跳蛙 (https://www.notion.so/605f8cb6b5e843d59857e732dce30c1e?pvs=21),跳蛙重覆扣款問題,"vc回覆
看看訂單編號,我們這邊查查看,如果真的之後改的機制也沒辦法,這就要用事後對帳方式,是另外一種處理方式了,前台自動化機制是無法解決這無法接收到的問題(這情況就是跳蛙2邊接收地方都沒有收到綠界的資料)","8/26還有另外一筆詭異的訂單
請客服提供資料再查詢","Echo, VC",2025/08/25,未开始,,,,,,Not started,,,,,,,,,,,,
中小微企業AI創新應用輔導計畫參展    (https://www.notion.so/AI-2402fd085e5f80379a10dcc6575622da?pvs=21),參展內容提供,第四頁與第五頁已完成,,"Ing, Jason",2025/08/25,进行中,,,,,,Not started,,,,,,,,,,,,
,公司五頁簡介,https://www.canva.com/design/DAGxDXEHjvw/9dnenXnaWUkYSWr4VbjyPg/edit,,Ing,2025/08/25,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),前後台,一小時沒動作，自動登出,,Miles,2025/08/25,完成,,,,,,Not started,,,,,,,,,,,,
信誼 (https://www.notion.so/2232fd085e5f80639259cdd7d06081cc?pvs=21),企業版客服,"套程式
https://justent.justhings.com.tw/Home/Login?ReturnUrl=%2F
https://justent.justhings.com.tw/Home/Login?ReturnUrl=%2F",,Miles,2025/08/22,完成,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),前台,品項列印功能,,Miles,2025/08/11,完成,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),總後台、商家後台、前台,優惠活動 買幾送幾 設定,,Miles,2025/08/07,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),投後後台,案件進度計算修改,,Miles,2025/08/07,完成,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),客服機器人,可選擇 Claude 模組,,Miles,2025/08/04,完成,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),客服機器人,"前台上方設定版面異動
前台下方多一個上傳圖片按鈕
3.3 後台公司設定可以設定模型",,Miles,2025/08/01,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),前後台,"前台標籤UI功能調整
後台進階搜尋全部取消按鈕移除",,Miles,2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
農創家 (https://www.notion.so/2342fd085e5f8081821fc217bb32693e?pvs=21),旅遊系統,後台清資料，訂單、資源,,Miles,2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,"新需求修正
https://www.notion.so/1e52fd085e5f807c831fdf5bb2638912?pvs=21",,"Anita, Miles",2025/07/31,完成,,,,,,Not started,,,,,,,,,,,,
,Task,中小企總,,Anita,2025/07/31,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),7月需求單,完成給Anita確認完成,,"Anita, 亮廷",2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
,http://booking.com 截圖,"✅已完成：截圖 存住宿資資訊
⌛️研究中：輸入地點日期",,亮廷,2025/08/21,进行中,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),測試,預算管理問題排除中,,Anita,2025/08/07,未开始,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),太魯閣進度會議,"PM0300
確認核對excel問題都解決了",,Echo,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI翻譯面板 (https://www.notion.so/JustAI-1452fd085e5f80569c79ce404b8e7e00?pvs=21),後台功能補充,我用cursor製作中,ing 下午一點開會討論,"Echo, Ing",2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),前後台操作手冊,"文字已完成,剩排版",我需要anita,Echo,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),納智捷進度週報,"下週納智捷暑休~~放假一週
會議暫定9/2 
議題??

按鈕全靠右、確認按鈕放右下、群組下拉選單調整、列表用區塊區隔、改footer文字、RWD檢查、使用者帳號跳轉異常修正、左上logo放大文字修改、1.1、1.3全文搜尋、2.2群組權限新增異常修正

",請VC補充本週進度,Echo,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
,交接事宜,"1.文策院
2.島嶼
3.中小企總
4.Sam旁聽",,"Anita, 亮廷",2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),Task,"1.回應廠商問題
2.最快本周最晚下週提供正式端",,Anita,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),新需求,"1.整理請款需求單
2.處理網路",,"Anita, 亮廷",2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),Task,"1.頁面處理
https://justhingspublic-dotcom.github.io/nasmedemo/index.html
2.8/29 1500線上內部會議(echo、亮廷、anita)
3.9/12 10:00實體會議（有老闆）",,Anita,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),部屬到AWS,,,姿樺,2025/08/21,未开始,,,,,,Not started,,,,,,,,,,,,
宇豐_餐盤辨視軟體 (https://www.notion.so/_-1d62fd085e5f80a0bf6af7c909ec7f1e?pvs=21),測試新版辨識,"調整解析度
距離問題",,Jason,2025/08/06,完成,,,,,,Not started,,,,,,,,,,,,
24134 號誌新案 (https://www.notion.so/24134-a08740325ff74822b0d0f747fb774881?pvs=21),路口時制排程建立問題,,,Jason,2025/08/06,完成,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),測試收據印表機,在android平板測試用chrome列印,,Jason,2025/08/05,完成,,,,,,Not started,,,,,,,,,,,,
森福德 (https://www.notion.so/80e5802e2a834806a53ad06f98fd3a3a?pvs=21),API測試,,,Jason,2025/08/29,进行中,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),Task,"1.處理廠商提問
2.是不是要給島嶼他們一個正式端的環境",,"Anita, VC, 亮廷",2025/08/19,进行中,,,,,,Not started,,,,,,,,,,,,
,交接事項,"交接清單
https://www.notion.so/anita-1992fd085e5f8035a53ac452fdac123d?pvs=21",,"Anita, 亮廷",2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康前後台操作手冊,,,Echo,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
,太魯閣進度追蹤,"1.與報名系統不符
2.參賽項目內容核對
  -足球缺國小男女名冊
  -拔河缺場地
  -田徑類是珮蓉自己key,我就沒有幫她們核對了

今天開會要提醒要給喬思齊運動會延後的公文",,Echo,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),納智捷,"貴團隊的建議僅供參考，本次專案不會納入修改，若有需要再另案處理。

群組數限制
已免費提供至 6 個群組，不能再替換。

關鍵字整合
系統僅支援單一對話擷取關鍵字，若需整合全部對話，需自行下載 Excel 進行整理。

情緒分析
目前僅能針對單一對話由 AI 判斷情緒，無學習累積機制。若要更精確判斷，需依上下文資料綜合判斷。

以上說明",,Echo,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),麗珊問題處理,,,Echo,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報表分析調整,,,姿樺,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),Task,畫面處理中,,Anita,2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),Task,"1.討論工時＆錢
2.上到正式端
3.新需求討論",,"Anita, Miles",2025/08/19,未开始,,,,,,Not started,,,,,,,,,,,,
文策院-文化金融處（投後-朝民） (https://www.notion.so/1212fd085e5f8010896fd5b8951c561d?pvs=21),後台,"預算管理 搜尋年月改區間
百分比文字移除
版本上正式端",,Miles,2025/08/18,完成,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),太魯閣秩序冊建置教育訓練,,,Echo,2025/08/14 15:00 (GMT+8) → 16:00,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),手持,"https://www.notion.so/2162fd085e5f80b4ad53de361f50d9f3?pvs=21

No.29-34",,"Anita, 亮廷",2025/08/14,进行中,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),line OA請問小幫手功能,"要錄影說明,什麼時候可以錄
我只會螢幕錄影
加語音與字幕需要小溫協助",,"Echo, Miles",2025/08/14,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),紘康前後台操作手冊,,,Echo,2025/08/14,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),松下第二階段驗收檢核表,,,Echo,2025/08/14,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI翻譯面板 (https://www.notion.so/JustAI-1452fd085e5f80569c79ce404b8e7e00?pvs=21),翻譯面版調整,"首版https://i-test.justhings.com.tw/transchat/front/index.html
規格：Ipad + 手機 (不含桌機)

添加登入頁面及忘記密碼頁
https://i-test.justhings.com.tw/transchat/front/login.html

後台
https://i-test.justhings.com.tw/transchat/back/index.html",,"Echo, Ing",2025/08/14,进行中,,,,,,Not started,,,,,,,,,,,,
長汎 (https://www.notion.so/39d7adf5b79646dfa274bc51357c0825?pvs=21),長汎業務拜訪,,,Echo,2025/08/11,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),報價單,等回覆,,"Anita, Echo",2025/08/07,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),測試,,,Anita,2025/08/07,未开始,,,,,,Not started,,,,,,,,,,,,
,大南方洽談,訂高鐵車票＋協助採購用品,,Jean,2025/08/14,未开始,,,,,,Not started,,,,,,,,,,,,
納智捷 (https://www.notion.so/1732fd085e5f80669f05cf52a901eb63?pvs=21),報表優化,,,姿樺,2025/08/14,未开始,,,,,,Not started,,,,,,,,,,,,
中小企總_1.投後專案管理 (https://www.notion.so/_1-2462fd085e5f80748a38d5569e3e19c7?pvs=21),Task,更新後報價單(200萬ver.),,"Anita, Sunny",2025/08/13,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),系統,"https://www.notion.so/2162fd085e5f80b4ad53de361f50d9f3?pvs=21
No.41-45",,"Anita, VC",2025/08/13,未开始,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),報表,"https://www.notion.so/2162fd085e5f80b4ad53de361f50d9f3?pvs=21
No.35-40",,"Anita, VC, 姿樺",2025/08/13,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),矽統教育訓練,"會議主題：官網2.0資料建置教育訓練_(財務[投資人專區.ESG]+HR[人力資源]+品保[品質承認書])

會議日期：2025/8/12 (二) 14:00~15:00

會議地點：台北 五樓8003會議室| ZOOM會議室(2875169002)，登入密碼28751690",,Echo,2025/08/12 14:00 (GMT+8) → 15:00,未开始,,,,,,Not started,,,,,,,,,,,,
2025年 花蓮 萬榮 太魯閣族 運動會 競賽管理系統 (https://www.notion.so/2025-1a62fd085e5f80ea8cc3f5220166da3b?pvs=21),太魯閣官網上線,https://trukusport.tw/,,"Echo, VC",2025/08/12,完成,,,,,,Not started,,,,,,,,,,,,
島嶼生吐司 (https://www.notion.so/2cdae6cc89844cdea40e36975d572487?pvs=21),調整,"新增調整項目
1. 手動輸入新增選擇商品下拉選單
2. APP字體整體放大 （調整中）
3. 其餘項目待8/12會議",,亮廷,2025/08/12,完成,,,,,,Not started,,,,,,,,,,,,
大南方智慧餐飲 (https://www.notion.so/1f22fd085e5f80f0ba46c24610ea26c0?pvs=21),50家執行細項,"總進度：12/50
樂台羽茶12家已完成（週三裝閨蜜機

傳香飯糰11家（預計週三完成
十二韻2家需要點餐出單機（預計週三Demo

清原芋圓12家、十九甲雞排12家（AI客服洽談中

每家需準備：
AI客服建置、合作意向書回簽、QRCode立牌、工讀生裝機手冊、系統收數據、拍照回傳（遠近各一",,Sam,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
公版JustAI客服 (https://www.notion.so/JustAI-1452fd085e5f80e5af58d9a8a51bb868?pvs=21),Saas規劃,,,Sam,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
JustAI企業版智能客服 (https://www.notion.so/JustAI-1a62fd085e5f80878e83fdb80588b7d2?pvs=21),信誼大腦（企業大腦改版,簡報：說明基礎功能：權限管理、無限自建Chatbot,,Sam,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),Task,1. 前台與後台的佈署,,Brian,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工問題維護,案件申請無法成功寄件,,Brian,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),Task,1. 前台 大圖功能調整 2. 後台資料顯示順序調整,,Brian,2025/08/12,未开始,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工問題維護,案件查詢頁面資料缺失 (已解決),,Brian,2025/08/05,完成,,,,,,Not started,,,,,,,,,,,,
松下-員工發展平台 (https://www.notion.so/869d49a6530a4e44af14ac2ba75438ba?pvs=21),Task,"1.後台 使用者管理優化 + 下載專區調整
2.後台 刪除BUG修改
3.圖文編輯器表格修改
4. 前台 錯誤頁面設置",,Brian,2025/08/05,完成,,,,,,Not started,,,,,,,,,,,,
紘康官網 (https://www.notion.so/f4fa1da39a374cde92f380d3d643a2db?pvs=21),Task,後台 使用者管理優化,,Brian,2025/08/05,完成,,,,,,Not started,,,,,,,,,,,,
派工1999維護 (https://www.notion.so/1999-ed0a1bbc637b4e83945ea40e71b9475a?pvs=21),派工問題維護,"1. 有關縣長信箱限辦日期預設日期是立案後工作日7日?還是依據花蓮縣政府電子民意信箱作業要點第五點第一項：「屬一般諮詢或詢問事項者，應於七日（含例假日）內上網答覆
。」所述，是包含例假日的七日。
2. 因為長網址導致畫面比例失衡的頁面，需要補充一個，就是在待回復夾當中點下「寄信」按鈕後所進入的寄信頁面。",,Brian,2025/08/26,未开始,,,,,,Not started,,,,,,,,,,,,
